"id";"phenomenonTime";"resultnumber";"resultnumbers";"resultTime";"resultQuality";"validTime";"parameters";"datastream_id";"multidatastream_id";"featureofinterest_id";"temperature";"humidity";"battery"
30131;2021-11-16 00:48:42.000 +0100;;{0.2,14.311,100.0};2021-11-16 00:48:42.000 +0100;"";;"";;2;3;0.2;14.311;100.0
30143;2021-11-16 01:03:51.000 +0100;;{0.2,14.191,NULL};2021-11-16 01:03:51.000 +0100;"";;"";;2;3;0.2;14.191;
30154;2021-11-16 01:18:59.000 +0100;;{0.2,14.071,NULL};2021-11-16 01:18:59.000 +0100;"";;"";;2;3;0.2;14.071;
30166;2021-11-16 01:34:07.000 +0100;;{0.2,14.071,NULL};2021-11-16 01:34:07.000 +0100;"";;"";;2;3;0.2;14.071;
30177;2021-11-16 01:49:15.000 +0100;;{0.2,13.952,NULL};2021-11-16 01:49:15.000 +0100;"";;"";;2;3;0.2;13.952;
30188;2021-11-16 02:04:24.000 +0100;;{0.2,13.952,NULL};2021-11-16 02:04:24.000 +0100;"";;"";;2;3;0.2;13.952;
30199;2021-11-16 02:19:32.000 +0100;;{0.15,13.772,NULL};2021-11-16 02:19:32.000 +0100;"";;"";;2;3;0.15;13.772;
30212;2021-11-16 02:34:40.000 +0100;;{0.2,13.772,NULL};2021-11-16 02:34:40.000 +0100;"";;"";;2;3;0.2;13.772;
30225;2021-11-16 02:49:49.000 +0100;;{0.2,13.772,NULL};2021-11-16 02:49:49.000 +0100;"";;"";;2;3;0.2;13.772;
30236;2021-11-16 03:04:57.000 +0100;;{0.2,13.652,NULL};2021-11-16 03:04:57.000 +0100;"";;"";;2;3;0.2;13.652;
30248;2021-11-16 03:20:05.000 +0100;;{0.2,13.592,100.0};2021-11-16 03:20:05.000 +0100;"";;"";;2;3;0.2;13.592;100.0
30260;2021-11-16 03:35:13.000 +0100;;{0.2,13.592,NULL};2021-11-16 03:35:13.000 +0100;"";;"";;2;3;0.2;13.592;
30271;2021-11-16 03:50:22.000 +0100;;{0.2,13.592,NULL};2021-11-16 03:50:22.000 +0100;"";;"";;2;3;0.2;13.592;
30282;2021-11-16 04:05:30.000 +0100;;{0.2,13.532,NULL};2021-11-16 04:05:30.000 +0100;"";;"";;2;3;0.2;13.532;
30293;2021-11-16 04:20:57.000 +0100;;{0.2,13.532,NULL};2021-11-16 04:20:57.000 +0100;"";;"";;2;3;0.2;13.532;
30306;2021-11-16 04:36:05.000 +0100;;{0.15,13.473,NULL};2021-11-16 04:36:05.000 +0100;"";;"";;2;3;0.15;13.473;
30317;2021-11-16 04:51:13.000 +0100;;{0.15,13.413,NULL};2021-11-16 04:51:13.000 +0100;"";;"";;2;3;0.15;13.413;
30330;2021-11-16 05:06:21.000 +0100;;{0.2,13.413,NULL};2021-11-16 05:06:21.000 +0100;"";;"";;2;3;0.2;13.413;
30356;2021-11-16 05:08:42.000 +0100;;{0.2,13.413,NULL};2021-11-16 05:08:42.000 +0100;"";;"";;2;3;0.2;13.413;
30357;2021-11-16 05:09:00.000 +0100;;{0.2,13.413,NULL};2021-11-16 05:09:00.000 +0100;"";;"";;2;3;0.2;13.413;
30358;2021-11-16 05:09:26.000 +0100;;{0.2,13.413,NULL};2021-11-16 05:09:26.000 +0100;"";;"";;2;3;0.2;13.413;
30375;2021-11-16 05:37:01.000 +0100;;{0.2,13.413,NULL};2021-11-16 05:37:01.000 +0100;"";;"";;2;3;0.2;13.413;
30391;2021-11-16 05:52:08.000 +0100;;{0.15,13.413,NULL};2021-11-16 05:52:08.000 +0100;"";;"";;2;3;0.15;13.413;
30403;2021-11-16 06:07:16.000 +0100;;{0.2,13.353,NULL};2021-11-16 06:07:16.000 +0100;"";;"";;2;3;0.2;13.353;
30414;2021-11-16 06:22:25.000 +0100;;{0.15,13.293,NULL};2021-11-16 06:22:25.000 +0100;"";;"";;2;3;0.15;13.293;
30425;2021-11-16 06:37:33.000 +0100;;{0.2,13.413,NULL};2021-11-16 06:37:33.000 +0100;"";;"";;2;3;0.2;13.413;
30436;2021-11-16 06:52:41.000 +0100;;{0.15,13.413,NULL};2021-11-16 06:52:41.000 +0100;"";;"";;2;3;0.15;13.413;
30447;2021-11-16 07:07:49.000 +0100;;{0.2,13.293,NULL};2021-11-16 07:07:49.000 +0100;"";;"";;2;3;0.2;13.293;
30458;2021-11-16 07:22:58.000 +0100;;{0.15,13.293,NULL};2021-11-16 07:22:58.000 +0100;"";;"";;2;3;0.15;13.293;
30472;2021-11-16 07:38:06.000 +0100;;{0.2,13.233,100.0};2021-11-16 07:38:06.000 +0100;"";;"";;2;3;0.2;13.233;100.0
30483;2021-11-16 07:53:14.000 +0100;;{0.2,13.293,NULL};2021-11-16 07:53:14.000 +0100;"";;"";;2;3;0.2;13.293;
30494;2021-11-16 08:08:22.000 +0100;;{0.15,13.353,NULL};2021-11-16 08:08:22.000 +0100;"";;"";;2;3;0.15;13.353;
30505;2021-11-16 08:23:31.000 +0100;;{0.2,13.293,NULL};2021-11-16 08:23:31.000 +0100;"";;"";;2;3;0.2;13.293;
30516;2021-11-16 08:38:39.000 +0100;;{0.2,13.293,NULL};2021-11-16 08:38:39.000 +0100;"";;"";;2;3;0.2;13.293;
30528;2021-11-16 08:53:47.000 +0100;;{0.2,13.353,NULL};2021-11-16 08:53:47.000 +0100;"";;"";;2;3;0.2;13.353;
30540;2021-11-16 09:08:55.000 +0100;;{0.2,13.413,NULL};2021-11-16 09:08:55.000 +0100;"";;"";;2;3;0.2;13.413;
30552;2021-11-16 09:24:04.000 +0100;;{0.2,13.353,NULL};2021-11-16 09:24:04.000 +0100;"";;"";;2;3;0.2;13.353;
30563;2021-11-16 09:39:12.000 +0100;;{0.2,13.233,NULL};2021-11-16 09:39:12.000 +0100;"";;"";;2;3;0.2;13.233;
30575;2021-11-16 09:54:20.000 +0100;;{0.2,13.293,NULL};2021-11-16 09:54:20.000 +0100;"";;"";;2;3;0.2;13.293;
30578;2021-11-16 09:54:40.000 +0100;;{0.2,13.293,NULL};2021-11-16 09:54:40.000 +0100;"";;"";;2;3;0.2;13.293;
30579;2021-11-16 09:54:55.000 +0100;;{0.2,13.293,NULL};2021-11-16 09:54:55.000 +0100;"";;"";;2;3;0.2;13.293;
30594;2021-11-16 10:10:03.000 +0100;;{0.2,13.353,NULL};2021-11-16 10:10:03.000 +0100;"";;"";;2;3;0.2;13.353;
30605;2021-11-16 10:25:11.000 +0100;;{0.2,13.413,NULL};2021-11-16 10:25:11.000 +0100;"";;"";;2;3;0.2;13.413;
30617;2021-11-16 10:40:20.000 +0100;;{0.2,13.532,NULL};2021-11-16 10:40:20.000 +0100;"";;"";;2;3;0.2;13.532;
30618;2021-11-16 10:40:37.000 +0100;;{0.2,13.532,NULL};2021-11-16 10:40:37.000 +0100;"";;"";;2;3;0.2;13.532;
30630;2021-11-16 10:55:45.000 +0100;;{0.2,13.712,NULL};2021-11-16 10:55:45.000 +0100;"";;"";;2;3;0.2;13.712;
30641;2021-11-16 11:10:53.000 +0100;;{0.2,13.892,NULL};2021-11-16 11:10:53.000 +0100;"";;"";;2;3;0.2;13.892;
30653;2021-11-16 11:26:02.000 +0100;;{0.2,14.011,NULL};2021-11-16 11:26:02.000 +0100;"";;"";;2;3;0.2;14.011;
30665;2021-11-16 11:41:10.000 +0100;;{0.2,14.131,NULL};2021-11-16 11:41:10.000 +0100;"";;"";;2;3;0.2;14.131;
30677;2021-11-16 11:56:18.000 +0100;;{0.2,14.311,100.0};2021-11-16 11:56:18.000 +0100;"";;"";;2;3;0.2;14.311;100.0
30688;2021-11-16 12:11:26.000 +0100;;{0.15,14.431,NULL};2021-11-16 12:11:26.000 +0100;"";;"";;2;3;0.15;14.431;
30700;2021-11-16 12:26:47.000 +0100;;{0.2,14.55,NULL};2021-11-16 12:26:47.000 +0100;"";;"";;2;3;0.2;14.55;
30711;2021-11-16 12:41:55.000 +0100;;{0.2,14.61,NULL};2021-11-16 12:41:55.000 +0100;"";;"";;2;3;0.2;14.61;
30723;2021-11-16 12:57:03.000 +0100;;{0.2,14.79,NULL};2021-11-16 12:57:03.000 +0100;"";;"";;2;3;0.2;14.79;
30734;2021-11-16 13:12:11.000 +0100;;{0.2,14.85,NULL};2021-11-16 13:12:11.000 +0100;"";;"";;2;3;0.2;14.85;
30745;2021-11-16 13:27:20.000 +0100;;{0.2,14.97,NULL};2021-11-16 13:27:20.000 +0100;"";;"";;2;3;0.2;14.97;
30756;2021-11-16 13:42:28.000 +0100;;{0.15,15.089,NULL};2021-11-16 13:42:28.000 +0100;"";;"";;2;3;0.15;15.089;
30768;2021-11-16 13:57:36.000 +0100;;{0.2,15.209,NULL};2021-11-16 13:57:36.000 +0100;"";;"";;2;3;0.2;15.209;
30779;2021-11-16 14:12:45.000 +0100;;{0.2,15.209,100.0};2021-11-16 14:12:45.000 +0100;"";;"";;2;3;0.2;15.209;100.0
30792;2021-11-16 14:27:53.000 +0100;;{0.2,15.329,NULL};2021-11-16 14:27:53.000 +0100;"";;"";;2;3;0.2;15.329;
30806;2021-11-16 14:43:01.000 +0100;;{0.2,15.508,NULL};2021-11-16 14:43:01.000 +0100;"";;"";;2;3;0.2;15.508;
30817;2021-11-16 14:58:09.000 +0100;;{0.2,15.568,NULL};2021-11-16 14:58:09.000 +0100;"";;"";;2;3;0.2;15.568;
30828;2021-11-16 15:13:18.000 +0100;;{0.2,15.628,NULL};2021-11-16 15:13:18.000 +0100;"";;"";;2;3;0.2;15.628;
30839;2021-11-16 15:28:26.000 +0100;;{0.15,15.688,NULL};2021-11-16 15:28:26.000 +0100;"";;"";;2;3;0.15;15.688;
30850;2021-11-16 15:43:34.000 +0100;;{0.2,15.868,NULL};2021-11-16 15:43:34.000 +0100;"";;"";;2;3;0.2;15.868;
30861;2021-11-16 15:58:43.000 +0100;;{0.2,15.928,NULL};2021-11-16 15:58:43.000 +0100;"";;"";;2;3;0.2;15.928;
30873;2021-11-16 16:13:50.000 +0100;;{0.2,15.988,NULL};2021-11-16 16:13:50.000 +0100;"";;"";;2;3;0.2;15.988;
30884;2021-11-16 16:28:59.000 +0100;;{0.2,15.988,NULL};2021-11-16 16:28:59.000 +0100;"";;"";;2;3;0.2;15.988;
30896;2021-11-16 16:44:07.000 +0100;;{0.2,16.107,100.0};2021-11-16 16:44:07.000 +0100;"";;"";;2;3;0.2;16.107;100.0
30907;2021-11-16 16:59:15.000 +0100;;{0.2,16.107,NULL};2021-11-16 16:59:15.000 +0100;"";;"";;2;3;0.2;16.107;
30922;2021-11-16 17:14:24.000 +0100;;{0.2,16.107,NULL};2021-11-16 17:14:24.000 +0100;"";;"";;2;3;0.2;16.107;
30933;2021-11-16 17:29:32.000 +0100;;{0.2,16.047,NULL};2021-11-16 17:29:32.000 +0100;"";;"";;2;3;0.2;16.047;
30944;2021-11-16 17:44:40.000 +0100;;{0.2,15.928,NULL};2021-11-16 17:44:40.000 +0100;"";;"";;2;3;0.2;15.928;
30955;2021-11-16 17:59:49.000 +0100;;{0.2,15.808,NULL};2021-11-16 17:59:49.000 +0100;"";;"";;2;3;0.2;15.808;
30966;2021-11-16 18:14:57.000 +0100;;{0.2,15.748,NULL};2021-11-16 18:14:57.000 +0100;"";;"";;2;3;0.2;15.748;
30978;2021-11-16 18:30:05.000 +0100;;{0.2,15.688,NULL};2021-11-16 18:30:05.000 +0100;"";;"";;2;3;0.2;15.688;
30989;2021-11-16 18:45:13.000 +0100;;{0.2,15.508,NULL};2021-11-16 18:45:13.000 +0100;"";;"";;2;3;0.2;15.508;
31000;2021-11-16 19:00:21.000 +0100;;{0.2,15.449,NULL};2021-11-16 19:00:21.000 +0100;"";;"";;2;3;0.2;15.449;
